code,state,expenditure
AL,Alabama,6271.663
AK,Alaska,9127.634
AZ,Arizona,5433.887
AR,Arkansas,6166.943
CA,California,6237.59
CO,Colorado,5993.799
CT,Connecticut,8653.569
DE,Delaware,8479.747
DC,District of Columbia,10348.851
FL,Florida,7156.32
GA,Georgia,5467.469
HI,Hawaii,6856.164
ID,Idaho,5657.999
IL,Illinois,6756.367
IN,Indiana,6666.312
IA,Iowa,6921.326
KS,Kansas,6781.861
KY,Kentucky,6595.79
LA,Louisiana,6795.263
ME,Maine,8520.952
MD,Maryland,7491.791
MA,Massachusetts,9277.898
MI,Michigan,6618.374
MN,Minnesota,7409.332
MS,Mississippi,6571.042
MO,Missouri,6967.41
MT,Montana,6639.827
NE,Nebraska,7047.571
NV,Nevada,5735.295
NH,New Hampshire,7839.32
NJ,New Jersey,7582.935
NM,New Mexico,6650.611
NY,New York,8341.369
NC,North Carolina,6444.02
ND,North Dakota,7748.815
OH,Ohio,7075.908
OK,Oklahoma,6531.864
OR,Oregon,6579.887
PA,Pennsylvania,7729.961
RI,Rhode Island,8309.082
SC,South Carolina,6323.381
SD,South Dakota,7055.914
TN,Tennessee,6410.608
TX,Texas,5923.734
UT,Utah,5030.942
VT,Vermont,7634.929
VA,Virginia,6286.487
WA,Washington,6781.862
WV,West Virginia,7667.14
WI,Wisconsin,7232.853
WY,Wyoming,7040.259
