code,state,avgpremium
AL,Alabama,178.65
AK,Alaska,344.57
AZ,Arizona,215.68
AR,Arkansas,183.78
CA,California,224.75
CO,Colorado,226.34
CT,Connecticut,291.35
DE,Delaware,272.43
DC,District of Columbia,270.11
FL,Florida,233.12
GA,Georgia,180.27
HI,Hawaii,267.58
ID,Idaho,198.91
IL,Illinois,247.31
IN,Indiana,239.26
IA,Iowa,250.77
KS,Kansas,229.16
KY,Kentucky,230.73
LA,Louisiana,249.2
ME,Maine,335.61
MD,Maryland,180.4
MA,Massachusetts,456.39
MI,Michigan,203.84
MN,Minnesota,236.16
MS,Mississippi,213.45
MO,Missouri,195.11
MT,Montana,243.62
NE,Nebraska,236.59
NV,Nevada,207.17
NH,New Hampshire,302.32
NJ,New Jersey,473.17
NM,New Mexico,190.33
NY,New York,428.54
NC,North Carolina,239.75
ND,North Dakota,276.63
OH,Ohio,221.52
OK,Oklahoma,209
OR,Oregon,220.05
PA,Pennsylvania,243.13
RI,Rhode Island,328.09
SC,South Carolina,226.78
SD,South Dakota,244.32
TN,Tennessee,212.52
TX,Texas,218.41
UT,Utah,157.97
VT,Vermont,400.74
VA,Virginia,229.16
WA,Washington,279.37
WV,West Virginia,275.29
WI,Wisconsin,237.51
WY,Wyoming,296.96
